iter	Logloss
0	0.6872607586
1	0.6829484468
2	0.6794941358
3	0.6758402437
4	0.6727432725
5	0.6698422634
6	0.6673509923
7	0.6653697287
8	0.6638819486
9	0.662390462
10	0.6612183385
11	0.6595300487
12	0.6579448966
13	0.6568418923
14	0.6554659627
15	0.6546115634
16	0.653624803
17	0.6528119572
18	0.6518233775
19	0.6510283029
20	0.6501376778
21	0.6494455233
22	0.6487124735
23	0.6480504623
24	0.6474229319
25	0.6469372639
26	0.6463443501
27	0.6457995136
28	0.645124495
29	0.6447092809
30	0.6442157079
31	0.6437822574
32	0.6433160918
33	0.6427577005
34	0.6421266579
35	0.641587035
36	0.6411993955
37	0.6407065108
38	0.6403800433
39	0.6400121672
40	0.639711321
41	0.6392205211
42	0.6389586307
43	0.6385450806
44	0.6381682542
45	0.6378959137
46	0.6375200117
47	0.6371669404
48	0.6368627007
49	0.6363457322
50	0.6360371125
51	0.6356633941
52	0.6353296225
53	0.6350367792
54	0.6347764109
55	0.634442295
56	0.6342104785
57	0.633982117
58	0.6337636796
59	0.6333428409
60	0.6330494926
61	0.632782339
62	0.6324884051
63	0.6322547898
64	0.6319738078
65	0.6317996026
66	0.631570783
67	0.6313661234
68	0.6311497366
69	0.6309168367
70	0.6307025339
71	0.6304233928
72	0.6302212196
73	0.6300510802
74	0.6298289133
75	0.6296334501
76	0.6293667755
77	0.6292084727
78	0.6289777339
79	0.6288492864
80	0.6286552264
81	0.6285126392
82	0.6281768272
83	0.6280151962
84	0.6277984481
85	0.6275682958
86	0.6274251533
87	0.6272995618
88	0.6270800113
89	0.626895604
90	0.6267300999
91	0.626427276
92	0.626286414
93	0.6261008863
94	0.6259175309
95	0.6257356817
96	0.6256048883
97	0.6254175871
98	0.6252605149
99	0.6250402004
