iter	Passed	Remaining
0	73	7228
1	83	4085
2	93	3016
3	103	2482
4	112	2132
5	121	1909
6	131	1744
7	140	1614
8	149	1509
9	158	1424
10	168	1366
11	177	1301
12	186	1249
13	194	1195
14	202	1149
15	211	1111
16	220	1075
17	228	1041
18	237	1011
19	246	984
20	254	958
21	263	934
22	273	916
23	282	895
24	291	875
25	300	856
26	310	839
27	319	822
28	328	804
29	337	788
30	347	773
31	356	756
32	366	743
33	375	728
34	383	712
35	392	697
36	400	682
37	409	668
38	419	656
39	428	643
40	437	630
41	446	617
42	455	603
43	464	591
44	473	578
45	482	566
46	491	554
47	500	542
48	509	530
49	517	517
50	525	505
51	535	494
52	544	482
53	552	470
54	561	459
55	571	449
56	580	437
57	589	426
58	598	416
59	607	404
60	617	394
61	626	383
62	636	373
63	646	363
64	655	352
65	663	341
66	672	331
67	681	320
68	690	310
69	699	299
70	707	289
71	716	278
72	725	268
73	734	258
74	742	247
75	751	237
76	759	226
77	767	216
78	777	206
79	787	196
80	795	186
81	805	176
82	814	166
83	823	156
84	833	147
85	843	137
86	852	127
87	859	117
88	868	107
89	875	97
90	884	87
91	891	77
92	900	67
93	909	58
94	918	48
95	927	38
96	935	28
97	945	19
98	954	9
99	963	0
